publish_date,Link,source_name
2023-10-21 00:00:00+00:00,https://en.youturn.in/factcheck/no-its-not-a-doll-as-claimed-by-israel-rather-its-a-dead-childs-body.html,Youturn
2023-10-20 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-video-from-wyd-lisbon-2023-passed-off-as-palestinians-sleeping-in-the-open-during-israel-hamas-war,Logically
2023-10-13 00:00:00+00:00,https://www.rumorguard.org/post/fake-bbc-news-report-circulates-with-false-claims-that-ukraine-sold-weapons-to-hamas,RumorGuard
2023-10-13 00:00:00+00:00,https://www.rumorguard.org/post/false-claim-that-cnn-staged-war-report-uses-altered-audio,RumorGuard
2023-10-19 00:00:00+00:00,https://www.rumorguard.org/post/outdated-viral-video-contributes-to-confusion-over-gaza-hospital-explosion,RumorGuard
2023-10-17 00:00:00+00:00,https://www.rumorguard.org/post/qatar-threatens-to-cut-off-world-s-gas-supply-old-video-spreads-falsehood,RumorGuard
2023-10-20 00:00:00+00:00,https://www.rumorguard.org/post/biden-didn-t-call-for-new-military-draft-it-s-an-ai-video,RumorGuard
2023-10-20 00:00:00+00:00,https://www.boatos.org/religiao/luzes-misteriosas-anjos-ovnis-apareceram-ceu-israel.html,Boatos.org
2023-10-20 00:00:00+00:00,https://www.univision.com/noticias/bombardeos-israelies-gaza-video-falso,El Detector / Univision Noticias
2023-10-20 00:00:00+00:00,https://factly.in/an-old-video-of-russias-attack-on-ukraine-is-shared-as-israels-attack-on-gaza/,FACTLY
2023-10-20 00:00:00+00:00,https://factly.in/a-video-of-a-south-korean-paraglider-accident-is-being-falsely-claimed-as-a-hamas-paraglider-crashing-into-a-power-line/,FACTLY
2023-10-20 00:00:00+00:00,https://dpa-factchecking.com/belgium/231020-99-637662/,dpa
2023-10-20 00:00:00+00:00,https://www.univision.com/noticias/enfrentamiento-policia-manifestantes-propalestinos-barcelona-falso,El Detector / Univision Noticias
2023-10-20 00:00:00+00:00,https://dpa-factchecking.com/germany/231019-99-626503,dpa Deutsche Presse-Agentur
2023-10-20 00:00:00+00:00,https://www.univision.com/noticias/video-explotan-playa-israel-falso,El Detector / Univision Noticias
2023-10-20 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-the-wall-street-journal-did-not-report-a-u-s-made-mk-84-was-dropped-on-the-al-ahli-hospital-in-gaza,Logically
2023-10-20 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-video-peddled-as-israel-embassy-attacked-in-bahrain,Logically
2023-10-20 00:00:00+00:00,https://dpa-factchecking.com/switzerland/231019-99-625512/,dpa
2023-10-20 00:00:00+00:00,https://dpa-factchecking.com/netherlands/231018-99-612402/,dpa
2023-10-20 00:00:00+00:00,https://dpa-factchecking.com/austria/231017-99-595046/,dpa
2023-10-20 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-video-of-tajikistan-flood-survivor-falsely-linked-to-israel-hamas-war,Logically
2023-10-20 00:00:00+00:00,https://en.youturn.in/factcheck/the-ice-cream-shop-lady-saving-a-little-girl-is-an-old-and-staged-video.html,Youturn
2023-10-19 00:00:00+00:00,https://srilanka.factcrescendo.com/english/misleading-social-media-posts-say-morning-greetings-put-people-at-risk-of-hacking/,Factcrescendo
2023-10-18 00:00:00+00:00,https://srilanka.factcrescendo.com/english/this-video-does-not-depict-anula-jayathilaka-under-hamas-custody/,Factcrescendo
2023-10-18 00:00:00+00:00,https://srilanka.factcrescendo.com/english/false-claims-being-spread-stating-israel-defence-force-accepts-they-attacked-gaza-hospital/,Factcrescendo
2023-10-18 00:00:00+00:00,https://srilanka.factcrescendo.com/english/video-of-an-israeli-soldier-applying-pig-fat-to-a-bullet-lacks-evidence-and-is-misleading/,Factcrescendo
2023-10-20 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-photo-of-child-in-cardboard-box-from-greece-falsely-shared-as-palestine,Logically
2023-10-20 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-edited-video-shared-claiming-audience-chanted-jai-shri-ram-during-india-vs-pakistan-match,Logically
2023-10-20 00:00:00+00:00,https://youturn.in/factcheck/temple-bomb-rss-burkha-dress.html,Youturn
2023-10-19 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-isis-video-from-2016-shared-as-hamas-torturing-israeli-soldiers,Logically
2023-10-20 00:00:00+00:00,https://www.boatos.org/brasil/comandante-exercito-tomas-paiva-confessou-vendeu-armas-trafico.html,Boatos.org
2023-10-19 00:00:00+00:00,https://www.boatos.org/tecnologia/karl-box-faber-castell-sendo-vendida-queima-de-estoque-causa-aniversario.html,Boatos.org
2023-10-19 00:00:00+00:00,https://www.boatos.org/politica/haddad-gleisi-lula-tiraram-foto-khaled-mashal-lider-hamas.html,Boatos.org
2023-10-19 00:00:00+00:00,https://dpa-factchecking.com/germany/231017-99-594568,dpa
